,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
16,27,55,.329,17.0,111.0,117.2,-5.89,2006,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2006,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2006,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2006,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2006,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2006,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2006,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2006,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2006,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2006,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2006,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2006,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2006,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2006,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2006,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2006,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2006,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2006,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2006,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2007,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2007,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2007,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2007,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2007,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2007,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2007,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2007,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2007,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2007,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2007,Detroit Pistons
